Word,Clue
AAR,Courtroom evidence
ABC,Evidence in court
ABE,Sworn state^ment
ABI,Witness' state^ment given on oath
ABS,Can^tan^ker^ous be^hav^iour
ABU,Crabby be^hav^iour
ACE,Irritability
ACT,Touchy attitude
ADA,"Cricket fixture between the West Indies and India, eg"
ADD,Cricket game between countries
ADE,Flyer employed by an aircraft manufacturer
ADO,Flyer of new aircraft
ADS,Person who flies experimental aircraft
AER,Development aviator
AFT,Most irritable
AGA,One-on-one chat
AGE,Two-person dis^cus^sion
AGM,Intimate chat
AGO,Intimate interview
AHA,Securing (a horse)
AID,Au^thor^ised manuals
AIL,School manuals on specific subjects
AIM,Standard works for study of a subject
AIN,Pub^li^ca^tions for school use
AIR,Author of <i>Vanity Fair</i>
AIT,"WM _, <i>Vanity Fair</i> author"
AJA,"William Makepeace _, writer"
AKA,"William _, author of <i>Vanity Fair</i>"
AKU,Writer of <i>Vanity Fair</i>
ALA,Unpleasant
ALB,Un^appre^ci^ated
ALE,Unprofitable
ALF,Unwanted
ALI,Makers of straw roofs
ALL,Cottage roofing
ALP,Covering (a house) with reeds
ALY,Method of making a natural roof
AME,"Dis^ney^land, eg"
AMI,Amusement complex with a unifying idea
AMP,Funfair inspired by children's entertainment
AMY,"Legoland, eg"
ANA,Gilbert and Sullivan work
ANC,Gilbert and Sullivan's Japanese operetta
AND,All things mystical
ANG,Formed opinions not based on fact
ANN,Imagined
ANT,Speculated
ANY,Concept thinker
APA,Speculates
APE,1943 Jane Russell western
APP,Jane Russell's first film in 1943
APR,Counsellor
APT,Healer
APU,Person who treats complaints by non-surgical means
ARC,Psy^cho^ana^lyst
ARE,And so
ARF,Con^se^quent^ly
ARK,Ergo
ARM,For that reason
ARP,So
ART,That being the case
ASA,Classic Sheridan comedy
ASH,By way of heat
ASK,Through heat
ASP,Via heat
ASS,Book of synonyms
ATE,Book of words and their synonyms
ATM,Dic^tion^ary of synonyms
AUK,Ref^er^ence book
AVA,Roget's dic^tion^ary
AVE,Book of word families
AWE,Trollope novel featuring a church official
AWL,Trollope novel in the Barsetshire series
AWN,Cry at the start of a horse race
AXA,Horse-racing cry
AXE,Race-track cry
AYE,Became more com^pli^cated
AYN,Became more dense
AYR,Became more con^cen^trated
BAA,Made more dense
BAD,Gravy in^gre^di^ent
BAG,Amount of depth
BAH,Density
BAN,Layer's depth
BAP,Femur
BAR,Problem-solving group of experts
BAT,Balding
BAY,Very mediocre
BAZ,Poor-quality
BBC,Words on a box
BBQ,Created
BEA,Devised
BEC,Trouncing
BED,Beating soundly
BEE,Giving a hiding to
BEG,Flogging
BEL,Seeks to coerce
BEN,Menaces
BET,"Pro^verbi^al^ly, a crowd"
BEV,Trio
BEX,Trio of people
BEY,Agricultural process of separating cereal grains from the husks
BFG,Crop-beating
BHP,Place or point of entering
BHS,Sill of a house door
BIB,Jet^ti^soned
BIC,Economically
BID,Frugally
BIG,In a scrimp^ing way
BIN,Sparingly
BIO,Exciting books or films
BIR,Exciting films
BIS,Exciting
BIT,Sensational
BIX,Stirring
BLT,In a guttural way
BLY,Filling
BMA,Asphyxiated
BMI,Choked
BMW,Silenced
BMX,Strangled
BOA,Suffocated
BOB,Ac^cel^er^at^ing devices
BOD,Chokes
BOE,Regu^lat^ing valves
BOG,Stifles
BON,Strangles
BOO,Discard
BOP,Jettison
BOW,Ejected
BOX,Evicted
BOY,Ousted
BOZ,Ambitious
BRA,Prodding (at)
BSM,Lunging
BST,Barging
BUD,Pushing hard
BUG,Roared
BUN,Nickname of <i>The Times</i>
BUR,Baulking
BUS,Blocking
BUT,Alphabet
BUY,Lincoln's nickname
BYE,Presi^dent Lincoln's nickname
BYO,"_ Lincoln, US presi^dent"
CAB,"_ Lincoln, presi^dent"
CAD,Brilliant flyer
CAL,Dis^tin^guished airman
CAM,Expert flyer
CAN,Expert pilot
CAP,High card
CAR,High or low card
CAT,High or low playing-card
CAW,High playing-card
CAY,Highest or lowest playing-card
CBI,Ir^re^triev^able service
CEP,Playing-card
CHA,Skilled pilot
CHE,Top card
CHI,Top playing-card
CHO,Winning service
CIA,Winning tennis serve
CID,"_ in the hole, hidden ad^van^tage"
CIF,"<i>Sister</i> _, Whoopi Goldberg film"
CNN,Behave
COB,Deed
COD,Do some^thing
COE,Law passed by Par^lia^ment
COG,Le^gis^la^tive decree
COL,Par^lia^men^tary le^gis^la^tion
COM,Part of a play
CON,Perform
COO,Perform in a film
COP,Perform in a play
COR,Perform on stage
COS,Piece of le^gis^la^tion
COT,Play a role
COW,Play section
COX,Pretence
COY,Pretend
CRU,Section of a play
CRY,Take on a role
CSI,"<i>For the Love of</i> _, 1970s sitcom"
CUB,Attach
CUD,Count
CUE,Count up
CUI,Find the sum of
CUP,Find the sum of (two numbers)
CUR,Put on
CUT,Say further
CWM,Say more
CWT,State further
CXI,Sum
CYD,Tack on
DAB,Tally
DAD,Tot up
DAG,Total
DAI,"_ to, sup^ple^ment"
DAL,"_ Edmond^son, comic actor"
DAM,"<i>Much _ about Nothing</i>, 1993 film"
DAN,"<i>Much _ about Nothing</i>, Branagh/Thompson film"
DAP,"<i>Much _ about Nothing</i>, Shakespeare play"
DAW,"<i>Much _ about Nothing</i>, play"
DAY,"<i>Much _ about Nothing</i>, play by Shakespeare"
DAZ,Bother
DEA,Clamour
DEB,Commotion
DEC,Fuss
DEE,Fuss and bother
DEL,Hassle
DEN,Hubbub
DER,"Stir, fuss"
DES,"Without more _, straight away"
DEV,Newspaper inserts
DEW,"_ Lingus, Irish travel company"
DFS,"_ Lingus, Irish flight company"
DGO,"_ Lingus, flight company"
DIB,Astern
DID,At a ship's rear
DIE,At the back
DIG,Naut^ical^ly astern
DIM,Near or towards the stern of a boat
DIN,Rear of a ship
DIO,To the back of a ship
DIP,Towards the rear of the ship
DIS,Towards the stern
DIY,Brand name of a range cooker
DNA,Solid-fuel cooker
DOA,Sturdy domestic range
DOB,Sturdy oil-fired cooker
DOC,Turkish chief
DOE,Turkish commander
DOG,Turkish governor
DOH,Turkish leader
DOM,Turkish lord
DON,Turkish ruler
DOR,Make of cooker
DOT,"_ Khan, Islamic leader"
DOW,"_ Khan, title of a Muslim leader"
DRE,"<i>The _ of Innocence</i>, Edith Wharton novel"
DRY,"<i>The _ of Innocence</i>, Scorsese film"
DTI,"<i>The _ of Innocence</i>, 1993 Daniel Day-Lewis film"
DUB,"<i>The _ of Innocence</i>, 1993 Michelle Pfeiffer film"
DUD,Epoch
DUE,Era
DUG,Generation
DUN,Grow old
DUO,Grow older
DVD,His^tor^ic^al period
DYE,Mature
DZO,Period of history
EAR,Stage of life
EAT,Time of life
EAU,Time of life reached
EAW,Very long time
EBB,Yearly company planning session
ECG,Yearly shareholders' formal discussion
ECO,In days gone by
ECU,In the past
EDD,In time past
EDO,Past
